brand,code,price
Leopold,FC 210,1.150.000 ₫
Razer,BlackWidow Tournament 2014,1.690.000 ₫
Tt eSPORTS,Poseidon ZX,1.950.000 ₫
IKBC,C87,2.050.000 ₫
Gskill,KM570 MX,2.090.000 ₫
Ozone,Strike Battle,2.140.000 ₫
Ducky,One TKL - No Led,2.200.000 ₫
IKBC,C104,2.200.000 ₫
Tt eSPORTS,Poseidon Z,2.250.000 ₫
Ducky,Ducky One TKL,2.350.000 ₫
Ducky,One TKL PBT White,2.350.000 ₫
Ducky,One TKL PBT Grey Blue,2.350.000 ₫
Steelseries,Apex M500,2.390.000 ₫
Cooler Master,Masterkeys Pro M White Led (Blue switch),2.400.000 ₫
Cooler Master,Masterkeys Pro M White Led (Brown switch),2.400.000 ₫
Mad Catz,S.T.R.I.K.E 3,2.420.000 ₫
Mad Catz,S.T.R.I.K.E TE,2.420.000 ₫
Ozone,Strike Pro,2.450.000 ₫
Corsair,Strafe - Blue Switch,2.490.000 ₫
Corsair,Strafe - Brown Switch,2.490.000 ₫
Corsair,Strafe - Red Switch,2.490.000 ₫
Logitech,G610 ORION BROWN,2.490.000 ₫
Logitech,G610 ORION BLUE,2.490.000 ₫
Cooler Master,Masterkeys Pro L White Led (Brown switch),2.500.000 ₫
Cooler Master,Masterkeys Pro L White Led (Blue switch),2.500.000 ₫
Cooler Master,CM Storm Quick Fire Rapid I,2.500.000 ₫
Leopold,FC 660M,2.550.000 ₫
Ducky,Mini,2.550.000 ₫
Ducky,One PBT Blue,2.650.000 ₫
Ducky,One PBT Grey - Blue,2.650.000 ₫
MSI,GK 701,2.650.000 ₫
G.Skill,KM780R MX,2.680.000 ₫
Razer,BlackWidow Ultimate 2016,2.690.000 ₫
Razer,BlackWidow Ultimate 2016 Stealth,2.690.000 ₫
Das Keyboard,4C Professional - Blue Switch,2.700.000 ₫
Das Keyboard,4C Professional - Brown Switch,2.700.000 ₫
Leopold,FC 750R Black,2.800.000 ₫
Ducky,One,2.800.000 ₫
Leopold,FC 750R White,2.800.000 ₫
Roccat,Ryos TKL Pro,2.890.000 ₫
Cooler Master,Masterkeys Pro S,2.900.000 ₫
iKBC,F87 RGB,2.950.000 ₫
Steelseries,Apex M650,2.990.000 ₫
Corsair,K70 LUX,2.990.000 ₫
Corsair,K70 RapidFire,2.990.000 ₫
Tt eSPORTS,Poseidon Z RGB,2.990.000 ₫
Leopold,FC 900R,3.090.000 ₫
Corsair,Vengeance K70 - Blue Switch,3.100.000 ₫
Corsair,Vengeance K70 - Brown Switch,3.100.000 ₫
Corsair,Vengeance K70 - Red Switch,3.100.000 ₫
iKBC,F108 RGB,3.150.000 ₫
Corsair,K65 LUX RGB,3.150.000 ₫
Corsair,K65 Rapid Fire RGB,3.250.000 ₫
Razer,BlackWidow Tournament Chroma,3.300.000 ₫
Leopold,FC 980M,3.300.000 ₫
Ducky,One TKL RGB,3.350.000 ₫
Razer,BlackWidow X Tournament Chroma,3.390.000 ₫
Leopold,FC900R Blue Grey Edition,3.400.000 ₫
Corsair,K65 RGB,3.450.000 ₫
Ducky,Legend,3.500.000 ₫
Cooler Master,Masterkeys Pro L,3.600.000 ₫
Steelseries,Apex M800,2.990.000 ₫
G.Skill,KM780R RGB,3.700.000 ₫
Corsair,Strafe RGB - Brown Switch,3.690.000 ₫
Corsair,Strafe RGB - Red Switch,3.690.000 ₫
Logitech,G810 Spectrum RGB,3.790.000 ₫
Razer,BlackWidow Chroma,3.790.000 ₫
Mionix,Zibal 60,3.790.000 ₫
Das Keyboard,Division Zero X40 Alpha-Zulu Tactile,3.800.000 ₫
Das Keyboard,Division Zero X40 Alpha-Zulu Linear,3.800.000 ₫
Ducky,Shine 5,3.800.000 ₫
Corsair,Strafe RGB Silent,3.850.000 ₫
Razer,BlackWidow X Chroma,3.890.000 ₫
Corsair,K70 RGB Rapid Fire,3.950.000 ₫
Razer,BlackWidow Chroma COD : Black Ops III,3.990.000 ₫
Razer,BlackWidow Chroma Overwatch,3.990.000 ₫
Corsair,K70 LUX RGB,4.050.000 ₫
Corsair,K70 RGB - Red Switch,4.090.000 ₫
Corsair,K70 RGB - Brown Switch,4.090.000 ₫
Ducky,Year Of The Goat,4.200.000 ₫
Ducky,Year Of The Monkey,4.250.000 ₫
Das Keyboard,4 Ultimate - Brown Switch,4.300.000 ₫
Das Keyboard,4 Professional - Brown Switch,4.300.000 ₫
Das Keyboard,4 Ultimate - Blue Switch,4.300.000 ₫
Das Keyboard,4 Professional - Blue Switch,4.300.000 ₫
Das Keyboard,4 Professional For Mac,4.500.000 ₫
Corsair,K95 RGB,4.550.000 ₫
Mad Catz,S.T.R.I.K.E 5,5.000.000 ₫
Leopold,FC 660C Grey,5.500.000 ₫
Leopold,FC 660C White,5.500.000 ₫
Mad Catz,S.T.R.I.K.E 7,7.500.000 ₫
brand,code,price
Leopold,FC 210,1.150.000 ₫
Razer,BlackWidow Tournament 2014,1.690.000 ₫
Tt eSPORTS,Poseidon ZX,1.950.000 ₫
IKBC,C87,2.050.000 ₫
Gskill,KM570 MX,2.090.000 ₫
Ozone,Strike Battle,2.140.000 ₫
Ducky,One TKL - No Led,2.200.000 ₫
IKBC,C104,2.200.000 ₫
